File,BIC
K2_ILM10_replicate4_6.str.admix.K=2.out,3031.559256
K2_ILM10_replicate4_7.str.admix.K=2.out,3005.648284
K2_ILM10_replicate4_8.str.admix.K=2.out,2126.081214
K2_ILM10_replicate4_9.str.admix.K=2.out,2594.625511
K2_ILM10_replicate5_0.str.admix.K=2.out,2819.302059
K2_ILM10_replicate5_10.str.admix.K=2.out,2715.927295
K2_ILM10_replicate5_11.str.admix.K=2.out,2761.688343
K2_ILM10_replicate5_12.str.admix.K=2.out,3083.994834
K2_ILM10_replicate5_13.str.admix.K=2.out,2528.441231
K2_ILM10_replicate5_14.str.admix.K=2.out,2667.282784
K2_ILM10_replicate5_15.str.admix.K=2.out,1946.557935
K2_ILM10_replicate5_16.str.admix.K=2.out,2660.712568
K2_ILM10_replicate5_17.str.admix.K=2.out,3583.583179
K2_ILM10_replicate5_18.str.admix.K=2.out,2409.964443
K2_ILM10_replicate5_19.str.admix.K=2.out,3699.618877
K2_ILM10_replicate5_1.str.admix.K=2.out,1663.395988
K2_ILM10_replicate5_2.str.admix.K=2.out,2904.123849
K2_ILM10_replicate5_3.str.admix.K=2.out,2793.604957
K2_ILM10_replicate5_4.str.admix.K=2.out,2724.984156
K2_ILM10_replicate5_5.str.admix.K=2.out,1895.931773
K2_ILM10_replicate5_6.str.admix.K=2.out,1743.250606
K2_ILM10_replicate5_7.str.admix.K=2.out,3484.081269
K2_ILM10_replicate5_8.str.admix.K=2.out,5323.102806
K2_ILM10_replicate5_9.str.admix.K=2.out,2926.112436
K2_ILM10_replicate6_0.str.admix.K=2.out,3260.451870
K2_ILM10_replicate6_10.str.admix.K=2.out,2773.296562
K2_ILM10_replicate6_11.str.admix.K=2.out,4537.812371
K2_ILM10_replicate6_12.str.admix.K=2.out,3590.381276
K2_ILM10_replicate6_13.str.admix.K=2.out,2614.342945
K2_ILM10_replicate6_14.str.admix.K=2.out,2840.092025
K2_ILM10_replicate6_15.str.admix.K=2.out,2841.918398
K2_ILM10_replicate6_16.str.admix.K=2.out,2422.789818
K2_ILM10_replicate6_17.str.admix.K=2.out,1844.236088
K2_ILM10_replicate6_18.str.admix.K=2.out,2913.610017
K2_ILM10_replicate6_19.str.admix.K=2.out,2447.823143
K2_ILM10_replicate6_1.str.admix.K=2.out,1599.088310
K2_ILM10_replicate6_2.str.admix.K=2.out,1793.016052
K2_ILM10_replicate6_3.str.admix.K=2.out,5298.260465
K2_ILM10_replicate6_4.str.admix.K=2.out,2326.988048
K2_ILM10_replicate6_5.str.admix.K=2.out,2821.414497
K2_ILM10_replicate6_6.str.admix.K=2.out,2494.284106
K2_ILM10_replicate6_7.str.admix.K=2.out,2871.136107
K2_ILM10_replicate6_8.str.admix.K=2.out,3491.730578
K2_ILM10_replicate6_9.str.admix.K=2.out,3948.634851
K2_ILM10_replicate7_0.str.admix.K=2.out,2581.175493
K2_ILM10_replicate7_10.str.admix.K=2.out,1872.350632
K2_ILM10_replicate7_11.str.admix.K=2.out,3184.787736
K2_ILM10_replicate7_12.str.admix.K=2.out,2561.702724
K2_ILM10_replicate7_13.str.admix.K=2.out,2277.736752
K2_ILM10_replicate7_14.str.admix.K=2.out,2555.835892
K2_ILM10_replicate7_15.str.admix.K=2.out,2101.596221
K2_ILM10_replicate7_16.str.admix.K=2.out,2059.080275
K2_ILM10_replicate7_17.str.admix.K=2.out,2470.255945
K2_ILM10_replicate7_18.str.admix.K=2.out,4098.860009
K2_ILM10_replicate7_19.str.admix.K=2.out,2727.002799
K2_ILM10_replicate7_1.str.admix.K=2.out,1607.028047
K2_ILM10_replicate7_2.str.admix.K=2.out,4521.596513
K2_ILM10_replicate7_3.str.admix.K=2.out,2032.710316
K2_ILM10_replicate7_4.str.admix.K=2.out,5238.969006
K2_ILM10_replicate7_5.str.admix.K=2.out,1922.521904
K2_ILM10_replicate7_6.str.admix.K=2.out,2082.900897
K2_ILM10_replicate7_7.str.admix.K=2.out,3523.517408
K2_ILM10_replicate7_8.str.admix.K=2.out,4816.867378
K2_ILM10_replicate7_9.str.admix.K=2.out,2566.383126
K2_ILM10_replicate8_0.str.admix.K=2.out,2647.010949
K2_ILM10_replicate8_10.str.admix.K=2.out,4326.418557
K2_ILM10_replicate8_11.str.admix.K=2.out,2374.992990
K2_ILM10_replicate8_12.str.admix.K=2.out,2138.965205
K2_ILM10_replicate8_13.str.admix.K=2.out,3031.059499
K2_ILM10_replicate8_14.str.admix.K=2.out,2505.155457
